epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,5633.1,0.77705,1.6072,0.96422,1.1541,0,0.69166,0.64426,0.69503,0.46885,0.72593,0.61805,0.68258,0.43622,0.931,1.87997,1.08194,1.34115,0,0.00081403,0.00081403,0.00081403
29,5829.25,0.7735,1.61758,0.97947,1.15699,0,0.66946,0.59195,0.64414,0.44234,0.67386,0.59646,0.64007,0.41872,0.94283,1.84604,1.13193,1.3755,0,0.000803031,0.000803031,0.000803031
30,6025.24,0.7901,1.60431,0.97112,1.16188,0,0.67119,0.62853,0.6744,0.4612,0.67509,0.63894,0.67577,0.43491,0.96019,1.86972,1.09112,1.38264,0,0.000792032,0.000792032,0.000792032
31,6223.62,0.77919,1.60229,0.9651,1.16962,0,0.64275,0.65826,0.68648,0.46636,0.69051,0.61447,0.68038,0.44657,0.9279,1.86469,1.09285,1.34365,0,0.000781033,0.000781033,0.000781033
32,6419.99,0.75209,1.55339,0.92335,1.13888,0,0.65611,0.65688,0.69913,0.4807,0.70451,0.61692,0.69149,0.45622,0.92221,1.79426,1.03714,1.34722,0,0.000770034,0.000770034,0.000770034
33,6618.59,0.77224,1.55303,0.94875,1.16023,0,0.70776,0.62367,0.68035,0.4614,0.71753,0.62198,0.6772,0.43972,0.92925,1.79118,1.08222,1.33595,0,0.000759035,0.000759035,0.000759035
34,6815.74,0.74259,1.5141,0.91439,1.141,0,0.69276,0.65066,0.69807,0.47688,0.70084,0.62866,0.68115,0.44755,0.91829,1.82406,1.06002,1.35038,0,0.000748036,0.000748036,0.000748036
35,7012.01,0.75423,1.52781,0.93455,1.13925,0,0.6707,0.66678,0.69696,0.46947,0.72631,0.60613,0.68254,0.44357,0.91665,1.82856,1.07665,1.33901,0,0.000737037,0.000737037,0.000737037
36,7210.27,0.74886,1.51608,0.8944,1.13599,0,0.6822,0.63608,0.67912,0.46628,0.67981,0.63221,0.67145,0.44024,0.91481,1.77581,1.08321,1.35742,0,0.000726038,0.000726038,0.000726038
37,7406.03,0.73878,1.51792,0.91757,1.13613,0,0.65224,0.67318,0.68698,0.47951,0.66803,0.65277,0.68823,0.4588,0.90991,1.79853,1.02934,1.32872,0,0.00071504,0.00071504,0.00071504
38,7605.88,0.72783,1.48154,0.86729,1.11579,0,0.7296,0.65645,0.72563,0.49938,0.72611,0.64561,0.71156,0.47415,0.90643,1.79442,0.96511,1.31701,0,0.000704041,0.000704041,0.000704041
39,7799.45,0.7394,1.48194,0.87208,1.13304,0,0.67104,0.67932,0.71288,0.49089,0.70901,0.6489,0.70688,0.46617,0.91131,1.78135,0.99608,1.321,0,0.000693042,0.000693042,0.000693042
40,7995.06,0.72407,1.48588,0.86578,1.13501,0,0.73353,0.64187,0.71263,0.49271,0.72958,0.63104,0.69816,0.46579,0.91371,1.77125,1.03038,1.31615,0,0.000682043,0.000682043,0.000682043
41,8193.67,0.73814,1.52811,0.90005,1.13815,0,0.66275,0.64446,0.70285,0.48148,0.65268,0.6454,0.68835,0.45931,0.90778,1.80168,1.00834,1.32179,0,0.000671044,0.000671044,0.000671044
42,8392.2,0.71604,1.43928,0.83411,1.10992,0,0.71629,0.66023,0.71635,0.49097,0.73006,0.66074,0.71249,0.46972,0.90451,1.8023,0.993,1.32553,0,0.000660045,0.000660045,0.000660045
43,8591.54,0.70283,1.38561,0.82281,1.09907,0,0.70486,0.65615,0.71071,0.48182,0.71348,0.65407,0.7037,0.45911,0.92211,1.83646,1.06108,1.36096,0,0.000649046,0.000649046,0.000649046
44,8788.24,0.71715,1.46211,0.84823,1.11117,0,0.73254,0.66351,0.73466,0.50579,0.74197,0.65811,0.73196,0.4795,0.91284,1.73883,0.96917,1.32501,0,0.000638047,0.000638047,0.000638047
45,8981.78,0.69534,1.41547,0.82293,1.10599,0,0.73904,0.66863,0.7436,0.51762,0.74453,0.66633,0.74242,0.493,0.89099,1.69759,0.95385,1.32603,0,0.000627048,0.000627048,0.000627048
46,9177.8,0.68933,1.37496,0.79215,1.09105,0,0.68827,0.68167,0.70918,0.49539,0.69036,0.66957,0.69762,0.47374,0.89261,1.74617,0.98818,1.32786,0,0.000616049,0.000616049,0.000616049
47,9375.06,0.69134,1.39297,0.80492,1.09862,0,0.67305,0.6722,0.70272,0.48711,0.65905,0.67744,0.69846,0.46468,0.88739,1.7547,1.00026,1.32808,0,0.000605051,0.000605051,0.000605051
48,9569.46,0.67965,1.41033,0.80569,1.10031,0,0.6971,0.68383,0.71427,0.49722,0.7088,0.67531,0.70979,0.47537,0.89825,1.85235,0.99591,1.3301,0,0.000594052,0.000594052,0.000594052
49,9768.68,0.67908,1.37538,0.81621,1.09349,0,0.71191,0.67727,0.72514,0.49515,0.72051,0.66469,0.71947,0.47226,0.90574,1.75321,0.99386,1.34105,0,0.000583053,0.000583053,0.000583053
50,9969.15,0.67438,1.36556,0.78963,1.09227,0,0.69021,0.68355,0.71408,0.49336,0.69989,0.66843,0.70476,0.46755,0.89734,1.77852,0.9541,1.33572,0,0.000572054,0.000572054,0.000572054
51,10166.1,0.68785,1.39025,0.78846,1.09384,0,0.71241,0.63855,0.70915,0.49463,0.72133,0.64347,0.70987,0.47606,0.89301,1.78002,1.01072,1.31872,0,0.000561055,0.000561055,0.000561055
52,10362.4,0.67455,1.34497,0.76076,1.07979,0,0.68783,0.69526,0.72945,0.51452,0.69628,0.68863,0.72569,0.4866,0.8569,1.76133,0.9494,1.29028,0,0.000550056,0.000550056,0.000550056
53,10557.6,0.65999,1.34111,0.74972,1.08912,0,0.72606,0.6561,0.71772,0.50391,0.74065,0.64686,0.70863,0.4814,0.85608,1.71122,0.9471,1.29486,0,0.000539057,0.000539057,0.000539057
54,10754.6,0.64895,1.30361,0.74254,1.07528,0,0.74306,0.67226,0.7275,0.50666,0.74284,0.66976,0.72033,0.48683,0.88805,1.76218,0.93377,1.33371,0,0.000528058,0.000528058,0.000528058
55,10951.5,0.65184,1.33351,0.7539,1.08533,0,0.72615,0.68153,0.72055,0.5069,0.71853,0.67411,0.70836,0.48382,0.87693,1.73495,0.95965,1.32919,0,0.000517059,0.000517059,0.000517059
56,11153.9,0.64191,1.31468,0.73101,1.07095,0,0.68943,0.68628,0.72237,0.50527,0.6934,0.68407,0.71344,0.48188,0.88266,1.69739,0.96818,1.3122,0,0.00050606,0.00050606,0.00050606
57,11352.8,0.65032,1.34504,0.74225,1.08094,0,0.73209,0.69103,0.73692,0.51516,0.74826,0.67715,0.73,0.48445,0.86844,1.75286,0.925,1.30178,0,0.000495062,0.000495062,0.000495062
58,11549,0.62988,1.28121,0.69673,1.05303,0,0.72119,0.64404,0.69953,0.48672,0.70044,0.65046,0.68645,0.46229,0.89209,1.77917,1.01738,1.33892,0,0.000484063,0.000484063,0.000484063
59,11745.8,0.64038,1.27309,0.71421,1.06636,0,0.74353,0.6746,0.73518,0.51012,0.75222,0.66541,0.72457,0.4833,0.87195,1.83803,0.94952,1.30243,0,0.000473064,0.000473064,0.000473064
60,11943.8,0.65026,1.3098,0.71629,1.0758,0,0.72999,0.65539,0.7149,0.50006,0.72239,0.65046,0.70174,0.471,0.86232,1.77853,0.94207,1.29207,0,0.000462065,0.000462065,0.000462065
61,12143.2,0.62994,1.23522,0.68953,1.06559,0,0.73007,0.67718,0.73767,0.51002,0.71743,0.6654,0.71957,0.49098,0.89088,1.7522,0.89903,1.33409,0,0.000451066,0.000451066,0.000451066
62,12340.5,0.62432,1.26101,0.6882,1.05386,0,0.73079,0.65161,0.7224,0.50965,0.73952,0.64639,0.71806,0.48641,0.87597,1.75147,0.91889,1.32801,0,0.000440067,0.000440067,0.000440067
63,12538.4,0.62574,1.27876,0.69452,1.05391,0,0.73705,0.65469,0.72647,0.51663,0.75248,0.65039,0.72216,0.49145,0.86928,1.72041,0.94147,1.32309,0,0.000429068,0.000429068,0.000429068
64,12734,0.62881,1.26648,0.71023,1.06696,0,0.74733,0.65423,0.72219,0.51142,0.74984,0.66071,0.71412,0.4849,0.88221,1.72702,0.94542,1.32877,0,0.000418069,0.000418069,0.000418069
65,12934.1,0.609,1.24026,0.65446,1.05162,0,0.70287,0.69955,0.73774,0.51421,0.72975,0.66487,0.72407,0.49254,0.86585,1.73897,0.92492,1.31067,0,0.00040707,0.00040707,0.00040707
