epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1429.89,0.65783,1.28287,0.79909,1.09326,0,0.78049,0.80946,0.84675,0.63304,0.77543,0.80767,0.841,0.60944,0.78875,1.38207,0.80698,1.17774,0,0.000666024,0.000666024,0.000666024
29,1479.71,0.64135,1.2388,0.79911,1.07872,0,0.74807,0.80976,0.83227,0.62968,0.81245,0.73084,0.81518,0.60182,0.77324,1.37565,0.85274,1.14677,0,0.000657025,0.000657025,0.000657025
30,1527.88,0.63993,1.25269,0.76909,1.08328,0,0.78182,0.79971,0.83242,0.63492,0.77936,0.80365,0.8312,0.61413,0.79167,1.38914,0.81845,1.1614,0,0.000648026,0.000648026,0.000648026
31,1577.73,0.63759,1.25885,0.76759,1.08749,0,0.78918,0.79917,0.85515,0.65415,0.78988,0.79849,0.85157,0.63715,0.77434,1.37817,0.75556,1.15747,0,0.000639027,0.000639027,0.000639027
32,1626.34,0.63648,1.24447,0.75549,1.07809,0,0.75303,0.76582,0.81322,0.60612,0.74671,0.76046,0.80874,0.59042,0.82204,1.3588,0.82578,1.19369,0,0.000630028,0.000630028,0.000630028
33,1675.86,0.6287,1.21223,0.7451,1.07414,0,0.84162,0.76812,0.85806,0.65297,0.84303,0.76956,0.85775,0.63764,0.78587,1.33809,0.72041,1.16224,0,0.000621029,0.000621029,0.000621029
34,1725.75,0.62661,1.23075,0.7417,1.07607,0,0.81075,0.76915,0.82884,0.61999,0.81323,0.77041,0.82041,0.59455,0.80686,1.61838,0.80348,1.20168,0,0.00061203,0.00061203,0.00061203
35,1774.47,0.62832,1.23241,0.75187,1.07711,0,0.85501,0.77575,0.85133,0.6471,0.84496,0.76498,0.8383,0.61066,0.74819,1.41582,0.74778,1.1362,0,0.000603031,0.000603031,0.000603031
36,1824.23,0.63024,1.21231,0.73671,1.07713,0,0.80117,0.85379,0.88839,0.67429,0.80199,0.84437,0.88173,0.65527,0.76399,1.32936,0.68462,1.14095,0,0.000594031,0.000594031,0.000594031
37,1873.25,0.62504,1.2226,0.72683,1.07614,0,0.85247,0.81342,0.88583,0.66983,0.84699,0.80987,0.87984,0.65842,0.77715,1.29067,0.68446,1.13761,0,0.000585032,0.000585032,0.000585032
