epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,1527.23,0.89101,1.79515,1.09147,1.14999,0,0.66526,0.59623,0.64846,0.4444,0.67057,0.59893,0.64578,0.41994,0.96592,1.83594,1.20245,1.24507,0,0.00081403,0.00081403,0.00081403
29,1580.69,0.90367,1.80247,1.11119,1.14987,0,0.72247,0.57959,0.67357,0.46142,0.67381,0.59738,0.66578,0.44461,0.97129,1.82787,1.17232,1.24618,0,0.000803031,0.000803031,0.000803031
30,1634.11,0.87057,1.76955,1.07527,1.13896,0,0.71316,0.64144,0.68742,0.47662,0.71955,0.64523,0.68985,0.45029,0.93578,1.86738,1.10877,1.22665,0,0.000792032,0.000792032,0.000792032
31,1686.39,0.87393,1.76151,1.06525,1.135,0,0.71591,0.62333,0.66358,0.46019,0.71848,0.62733,0.66443,0.43071,0.93672,1.83989,1.14057,1.22398,0,0.000781033,0.000781033,0.000781033
32,1738.51,0.87575,1.73778,1.09425,1.14025,0,0.68412,0.61355,0.68374,0.46295,0.67824,0.61893,0.68009,0.44348,0.94502,1.8179,1.16517,1.22727,0,0.000770034,0.000770034,0.000770034
33,1791.83,0.88229,1.74687,1.07791,1.14053,0,0.72093,0.62846,0.67455,0.4617,0.72445,0.63516,0.68291,0.44655,0.93178,1.80241,1.13062,1.21842,0,0.000759035,0.000759035,0.000759035
34,1844.01,0.8591,1.71887,1.04305,1.13262,0,0.68363,0.65169,0.69042,0.46637,0.68837,0.65405,0.69698,0.44648,0.93836,1.81676,1.11195,1.21488,0,0.000748036,0.000748036,0.000748036
35,1896.97,0.87208,1.75496,1.04946,1.12877,0,0.75939,0.65307,0.70637,0.48813,0.75444,0.65045,0.69294,0.4613,0.94005,1.80653,1.08745,1.23405,0,0.000737037,0.000737037,0.000737037
36,1949.74,0.84837,1.68183,1.00454,1.11545,0,0.77168,0.64375,0.72884,0.5018,0.76969,0.6387,0.71647,0.48377,0.93817,1.73894,1.00305,1.21045,0,0.000726038,0.000726038,0.000726038
37,2004.07,0.84268,1.71161,1.00299,1.12355,0,0.75317,0.61752,0.70237,0.48725,0.75615,0.61649,0.70088,0.4592,0.9343,1.88168,1.05277,1.23679,0,0.00071504,0.00071504,0.00071504
38,2059.52,0.85225,1.71261,1.00908,1.11244,0,0.7009,0.65032,0.69859,0.48476,0.70036,0.64923,0.68808,0.46615,0.91487,1.83972,1.10393,1.21669,0,0.000704041,0.000704041,0.000704041
39,2113.83,0.85032,1.68844,1.01432,1.12887,0,0.69479,0.60601,0.66919,0.45689,0.69402,0.60078,0.65791,0.43546,0.94065,1.81227,1.22881,1.23731,0,0.000693042,0.000693042,0.000693042
40,2168.59,0.83627,1.68974,0.99375,1.11392,0,0.67349,0.63863,0.6703,0.45494,0.67067,0.6349,0.65635,0.42649,0.9537,1.82652,1.13052,1.24516,0,0.000682043,0.000682043,0.000682043
41,2222.53,0.83787,1.64974,0.98098,1.11383,0,0.71744,0.62914,0.69077,0.46713,0.72528,0.62839,0.68515,0.44145,0.9488,1.86573,1.06319,1.23764,0,0.000671044,0.000671044,0.000671044
42,2278.21,0.83399,1.64313,0.9918,1.10243,0,0.64547,0.6152,0.65863,0.459,0.62886,0.61861,0.64762,0.43634,0.92729,1.79148,1.16048,1.2123,0,0.000660045,0.000660045,0.000660045
43,2334.16,0.83252,1.7035,0.97496,1.10665,0,0.70696,0.64893,0.70912,0.4937,0.69181,0.65924,0.70083,0.4676,0.92257,1.82966,1.04456,1.2091,0,0.000649046,0.000649046,0.000649046
